id;name;slug;description;price;original_price;category_id;images;stock;is_new;is_promo;genetics;flowering_time;thc_level;cbd_level;yield_info;created_at;updated_at
6e21bfdb-86c7-466f-9c64-81f140a8f5d0;Moby Dick;moby-dick;A Moby Dick é uma das genéticas mais lendárias e produtivas do mundo canábico. Famosa por sua força e pelo alto teor de THC, ela combina o melhor da Haze e da White Widow, resultando em uma planta robusta, vigorosa e com aroma marcante. Seus buds são grandes, densos e cobertos por uma espessa camada de tricomas, exalando uma fragrância cítrica e amadeirada.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_0716be5758e84805b7b1f5a1820a2b54~mv2.jpg""]";50;true;false;60% Sativa / 40% Indica (Haze x White Widow);9-10 semanas;22-25%;<1%;Indoor (10L): 110g | Outdoor (10L): 95g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
2338c6eb-a4c9-43e0-ba67-e6effb0e8259;Sour Tropicana;sour-tropicana;Sour Tropicana é uma variedade exótica que combina sabores cítricos intensos com um efeito energizante e criativo. Perfeita para quem busca uma experiência tropical e estimulante.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_c9d6c71fb4b948c182e081520e5f38b2~mv2.jpg""]";45;true;false;70% Sativa / 30% Indica;9-10 semanas;20-24%;<1%;Indoor: 100g | Outdoor: 90g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
910c6b17-c7af-4f95-adf8-79a47a643c08;Orange Sherbet;orange-sherbet;Orange Sherbet oferece um sabor doce e cítrico único, com notas de laranja e sorvete. Produz um efeito equilibrado que relaxa o corpo enquanto estimula a mente.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_91e7096596254b388aca84c4b9e8eb95~mv2.jpg""]";0;true;false;55% Sativa / 45% Indica;8-9 semanas;18-22%;<1%;Indoor: 95g | Outdoor: 85g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
099b6478-12ec-41ff-8d21-fe1cd78f051d;Runtz;runtz;Runtz é uma das genéticas mais hypadas da atualidade, conhecida por seu sabor doce de frutas e efeito balanceado.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_2089e5a0b05d4eb4987acb48aa322e60~mv2.jpg""]";0;true;false;50% Sativa / 50% Indica (Zkittlez x Gelato);8-9 semanas;20-25%;<1%;Indoor: 100g | Outdoor: 90g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
ab1316b6-fdd8-4c9e-b3e1-e2d187558ff6;Skunk;skunk;Skunk é uma lenda viva da cannabis, conhecida por seu aroma pungente e efeito potente. Esta variedade clássica oferece uma experiência equilibrada e confiável.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_skunk.jpg""]";40;true;false;65% Indica / 35% Sativa;8-9 semanas;18-22%;<1%;Indoor: 120g | Outdoor: 100g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
6b850669-b533-475f-ae66-fd0e54f0aad2;Black Pepper Garlic;black-pepper-garlic;Black Pepper Garlic é uma variedade única com um perfil de terpenos incomum que remete a especiarias e alho. Oferece um efeito relaxante e profundo.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_bpg.jpg""]";0;false;false;70% Indica / 30% Sativa;8-9 semanas;20-24%;<1%;Indoor: 105g | Outdoor: 95g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
674df615-66e4-4499-a9fc-1ec14f9e8151;Gary Payton;gary-payton;Gary Payton é uma variedade premium desenvolvida pela Cookies, conhecida por seu sabor complexo e efeito potente.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_gary.jpg""]";35;true;false;50% Sativa / 50% Indica (The Y x Snowman);9-10 semanas;22-26%;<1%;Indoor: 95g | Outdoor: 85g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
677ed33f-2c91-4d3f-9ed2-86e4b81ed97b;GMO;gmo;GMO (Garlic Mushroom Onion) é famosa por seu perfil de terpenos único e pungente. Oferece um efeito relaxante poderoso, ideal para o final do dia.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_gmo.jpg""]";30;true;false;90% Indica / 10% Sativa (GSC x Chemdawg);10-11 semanas;24-28%;<1%;Indoor: 110g | Outdoor: 95g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
f74b5146-05d8-40ec-911c-30e0c664c58f;Forbidden Fruit;forbidden-fruit;Forbidden Fruit combina sabores exóticos de frutas com um efeito relaxante e eufórico.;50.00;;22222222-2222-2222-2222-222222222222;"[""https://static.wixstatic.com/media/87862a_ff.jpg""]";0;false;false;70% Indica / 30% Sativa (Cherry Pie x Tangie);8-9 semanas;20-24%;<1%;Indoor: 100g | Outdoor: 90g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
79766232-3754-4563-9aee-7733851ceb23;AK-47 Auto;ak-47-auto;AK-47 Auto é a versão automática da lendária AK-47, oferecendo o mesmo efeito potente e equilibrado em um ciclo de vida mais curto.;50.00;;11111111-1111-1111-1111-111111111111;"[""https://static.wixstatic.com/media/87862a_ak47.jpg""]";50;true;false;65% Sativa / 35% Indica;8-9 semanas total;18-22%;<1%;Indoor: 80g | Outdoor: 70g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
fa9148c7-906c-481f-af72-5dc0979c340d;Critical Metal Auto;critical-metal-auto;Critical Metal Auto combina genéticas Critical com características automáticas, resultando em uma planta produtiva e fácil de cultivar.;50.00;;11111111-1111-1111-1111-111111111111;"[""https://static.wixstatic.com/media/87862a_critical.jpg""]";45;true;false;70% Indica / 30% Sativa;8-9 semanas total;18-20%;<1%;Indoor: 85g | Outdoor: 75g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
8245d27a-6c2c-4641-95b9-8e00ee89adbf;Gelato Black Auto;gelato-black-auto;Gelato Black Auto oferece o sabor doce e cremoso da família Gelato em uma versão automática prática.;50.00;;11111111-1111-1111-1111-111111111111;"[""https://static.wixstatic.com/media/87862a_gelato.jpg""]";40;true;false;55% Indica / 45% Sativa;9-10 semanas total;20-24%;<1%;Indoor: 80g | Outdoor: 70g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
32d401ea-2b4b-4562-a8a5-ed6c8ae5a6f4;Northern Lights Auto;northern-lights-auto;Northern Lights Auto é a versão automática de uma das índicas mais famosas do mundo. Conhecida por seu efeito relaxante profundo.;50.00;;11111111-1111-1111-1111-111111111111;"[""https://static.wixstatic.com/media/87862a_nl.jpg""]";55;true;false;90% Indica / 10% Sativa;8-9 semanas total;16-20%;<1%;Indoor: 90g | Outdoor: 80g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
f51857c2-636c-4898-a8b4-3e53293b0ecc;Girl Scout Cookies Auto;gsc-auto;GSC Auto traz o sabor doce e terroso das famosas Girl Scout Cookies em formato automático.;50.00;;11111111-1111-1111-1111-111111111111;"[""https://static.wixstatic.com/media/87862a_gsc.jpg""]";0;true;false;60% Indica / 40% Sativa (OG Kush x Durban Poison);9-10 semanas total;20-24%;<1%;Indoor: 75g | Outdoor: 65g;2025-12-13 00:07:18.249618+00;2025-12-13 00:07:18.249618+00
